dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),dropout,learn_rate,num_layers,num_neurons,num_topics,optimizer,WordEmbeddingsInvertedRBOCentroid(not optimized)
dataset_name,RF,LCB,0,42.787017583847046,0.22192585142291021,0.2219832817848014,0.004322893742960687,0.12621642183465895,0.020007822826798572,1,200,70,msprop,0.7593080572000246
dataset_name,RF,LCB,1,19.303386688232422,0.21166304157798257,0.21247274192868967,0.0026444832617271456,0.6372671870612787,0.04365527334495896,2,750,54,sgd,0.7604821525937742
dataset_name,RF,LCB,2,49.522629261016846,0.22796236792395091,0.2202311001289885,0.013246932582731633,0.8567683997951295,0.09143915707046532,2,500,91,adam,0.7604200164838053
dataset_name,RF,LCB,3,43.07426857948303,0.2096760610945384,0.20704959684229443,0.00611352681505538,0.34873759524970893,0.07901211383333899,3,100,85,msprop,0.7607343111511978
dataset_name,RF,LCB,4,25.38918375968933,0.21810234314913937,0.20886245070369924,0.013911951431760388,0.5332587983173067,0.02108844748640826,2,500,64,adam,0.7582061965453766
dataset_name,RF,LCB,5,33.95384216308594,0.22376863839685104,0.21437638259112415,0.0186330741409573,0.5335601564025165,0.03900113841027072,3,1000,75,msprop,0.7604900639708569
dataset_name,RF,LCB,6,18.13019061088562,0.23197819400834258,0.23187216726560633,0.016980877758435587,0.5223527884125547,0.05015438481496214,2,300,54,sgd,0.7609738338381442
dataset_name,RF,LCB,7,23.06952142715454,0.19915037170016117,0.20205224523821905,0.008391682883427199,0.5456487578089936,0.08587933899426681,2,1000,61,sgd,0.7591163588277998
dataset_name,RF,LCB,8,35.232410192489624,0.20258804955240525,0.20491013353358503,0.004546326011475757,0.39049333967248284,0.06553151553899984,2,750,77,sgd,0.7598407031481809
dataset_name,RF,LCB,9,32.45802164077759,0.20737270265580582,0.20847018786891544,0.007817142016831743,0.52327181314382,0.05658251256313935,2,1000,73,sgd,0.7606466709109081
dataset_name,RF,LCB,10,57.69727563858032,0.21346115732452922,0.2162743477116913,0.004827470970794435,0.503533962759371,0.053041261701968136,1,1000,100,adam,0.7601686907861114
dataset_name,RF,LCB,11,34.33818984031677,0.20790454696148675,0.21004844634672268,0.02365498361131276,0.7157593810532555,0.016281334144645308,1,100,76,sgd,0.7601719937035764
dataset_name,RF,LCB,12,16.907293796539307,0.19290599651376497,0.19782057593820215,0.01975772434237443,0.3944315506789314,0.04758480112419428,2,100,52,msprop,0.7595741971231142
dataset_name,RF,LCB,13,15.688604354858398,0.21228579297326688,0.21178411598315858,0.010004736317119676,0.5352944580448192,0.04767849596598888,2,300,50,msprop,0.7589834629708568
dataset_name,RF,LCB,14,18.141363382339478,0.22664098179601827,0.21932480188169937,0.010725812373218242,0.5257585166659422,0.04935609366575518,2,1000,52,msprop,0.7598006089378626
dataset_name,RF,LCB,15,15.850873470306396,0.20680101502654147,0.21270061168147492,0.010584183851127945,0.5252009902786348,0.049053607280940284,3,500,50,msprop,0.7597138975560984
dataset_name,RF,LCB,16,17.723438024520874,0.19472445260075688,0.2001978346554221,0.00854323687071163,0.17933001440487628,0.05138983130897665,2,200,54,adam,0.7607250222410217
dataset_name,RF,LCB,17,25.28475260734558,0.20107456429083842,0.2015610499250129,0.0036985302378534407,0.5270895604030865,0.05043370566949585,2,200,65,msprop,0.7610154180929158
dataset_name,RF,LCB,18,18.95068669319153,0.20667474248293694,0.2129425986375878,0.011552868079154595,0.5306511780954697,0.04935365467838925,1,300,56,msprop,0.7602775882385711
dataset_name,RF,LCB,19,37.396217346191406,0.19508365387786022,0.20380924662103686,0.018774485956891202,0.5207541900811068,0.04908014826771856,2,750,79,adam,0.7596575900287399
dataset_name,RF,LCB,20,43.341606855392456,0.2034369073251603,0.2032207850882688,0.0008983700034771101,0.7822583795205095,0.04978985548397588,2,300,88,adam,0.7601468342162289
dataset_name,RF,LCB,21,16.278500080108643,0.18873634423016494,0.21106080782426004,0.042271608152347075,0.5958500922366516,0.05022910310786125,2,300,51,sgd,0.7604251350036938
dataset_name,RF,LCB,22,19.779234170913696,0.2102654677686532,0.20852642794255694,0.0204286586636024,0.5240427196571945,0.049897620849260145,1,750,55,msprop,0.7614902478845031
dataset_name,RF,LCB,23,16.587148904800415,0.2388211806145125,0.23258497822205193,0.010872834721579355,0.5267378513916801,0.049529946104226626,1,1000,50,adam,0.7605954753366878
dataset_name,RF,LCB,24,18.201600313186646,0.20594158364090548,0.20569628853383756,0.005701027111708995,0.8227660997222701,0.04931412996633598,1,1000,53,adam,0.7603894202240717
dataset_name,RF,LCB,25,16.340399742126465,0.1800445566402449,0.20152944307279574,0.034217367822793845,0.6324839011373732,0.050073024196890595,1,1000,50,msprop,0.7613907042778266
dataset_name,RF,LCB,26,17.95443081855774,0.18870481901771066,0.20289688196645342,0.020319506438919457,0.5189015726401233,0.0018888963576349246,2,1000,51,sgd,0.759510586826434
