dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,eta,num_topics,WordEmbeddingsInvertedRBOCentroid(not optimized)
dataset_name,RF,LCB,0,49.66421055793762,0.21292899453500297,0.22021204308036055,0.010467747075959726,5.684832379906498,9.509684873171402,91,0.7580922112907137
dataset_name,RF,LCB,1,22.006170511245728,0.23247187170269612,0.2279225220515939,0.00967562835488364,7.997727659520582,4.898726433581666,58,0.7594697902747545
dataset_name,RF,LCB,2,57.686360120773315,0.2215413132440567,0.22219095786815604,0.0034674611445861137,8.21960839244013,3.5344214655468806,100,0.7582090836579991
dataset_name,RF,LCB,3,26.151922941207886,0.24217879779050136,0.24089643764067395,0.007480371111201442,0.06457616805745699,6.831462724483006,61,0.7594754878553533
dataset_name,RF,LCB,4,40.65472388267517,0.21018451309407424,0.20433490537647206,0.011245754954013198,2.2415853288966674,0.9833514643055032,79,0.7581268269207175
dataset_name,RF,LCB,5,28.611101150512695,0.2165908643857276,0.21627586709490557,0.0019552438504537354,5.92885333763196,3.8391149794373427,66,0.7583438442763064
dataset_name,RF,LCB,6,24.287633895874023,0.21807005283763295,0.21388417683634067,0.009010480083170413,3.857350943489957,3.451624462902414,60,0.758110869147651
dataset_name,RF,LCB,7,25.491861820220947,0.22534179056762474,0.2216127524933943,0.01262880073047415,7.825572039819746,2.69809400341383,62,0.7581849395396657
dataset_name,RF,LCB,8,20.26766276359558,0.2548471083891187,0.2553775578938657,0.0057253459353502735,0.03417421358796903,6.470063642936883,53,0.7589077290255122
dataset_name,RF,LCB,9,20.68634581565857,0.22058161177944574,0.22344874095421075,0.0095836375459249,2.2300015470919807,6.062771326165445,53,0.7584880960279704
dataset_name,RF,LCB,10,39.33881187438965,0.2142204805134252,0.20930007281949647,0.016129241560798483,2.049573308525587,7.59060893314642,58,0.7583136100778725
dataset_name,RF,LCB,11,26.07319974899292,0.22808527890768504,0.2305133602643836,0.006056076852969309,1.2541290508801224,6.642446894197383,57,0.7577656276636465
dataset_name,RF,LCB,12,23.11815047264099,0.22155594115011082,0.2222042676617886,0.005636359734459125,1.1197905923683624,8.431930800672747,56,0.759138663752341
