dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,learn_rate,num_layers,num_neurons,num_topics,optimizer,WordEmbeddingsInvertedRBOCentroid(not optimized)
dataset_name,RF,LCB,0,73.26573944091797,0.21963107179068037,0.2255672457343735,0.015594040478727225,softplus,0.4555880049221471,0.021016031987497658,3,500,97,msprop,0.7635553797491273
dataset_name,RF,LCB,1,46.41049075126648,0.41617950254269936,0.41666922548398416,0.0012512949637628426,sigmoid,0.8566522514169307,0.04645747867883873,2,100,83,adam,0.7548946223242174
dataset_name,RF,LCB,2,36.924030780792236,0.228944429464414,0.237383855284387,0.022923611083799707,selu,0.23214308260042685,0.0074237047321746,2,200,56,msprop,0.7610368052185644
dataset_name,RF,LCB,3,48.6336715221405,0.23180044516758155,0.2309736935333274,0.008256359724912664,sigmoid,0.5503350599444883,0.062368768184647407,1,1000,73,sgd,0.7593158315352563
dataset_name,RF,LCB,4,38.18022036552429,0.23151246361222236,0.22749567377205918,0.008009049906766473,softplus,0.06765616884135095,0.09926143966614857,2,300,61,msprop,0.7613484589793443
dataset_name,RF,LCB,5,59.554847240448,0.24140609166385038,0.2399437524653142,0.006438906570249013,softplus,0.3454648946388247,0.08569895052965361,3,750,89,msprop,0.7617350316586226
dataset_name,RF,LCB,6,62.30382418632507,0.23666098467151717,0.23941814435790795,0.015528627424997209,softplus,0.16045155809509165,0.06863216643444744,2,300,90,msprop,0.7609068803166125
dataset_name,RF,LCB,7,51.73908734321594,0.2211548597982254,0.2237600347124319,0.006480907570528645,sigmoid,0.4318874339465485,0.09540604078512066,2,100,82,msprop,0.762408831712596
dataset_name,RF,LCB,8,58.02483510971069,0.2448649422263202,0.24474835387055438,0.0036408511749842485,sigmoid,0.680435176645138,0.05028172582646469,2,100,86,msprop,0.7636273458516967
dataset_name,RF,LCB,9,46.23598575592041,0.3978357558740302,0.3923153816742628,0.0460879913656492,sigmoid,0.5074588100032376,0.04726057978309655,2,100,84,adam,0.756550359573713
dataset_name,RF,LCB,10,46.46702241897583,0.40608377810877017,0.4065423352878598,0.0016058496807995729,sigmoid,0.8943756737790783,0.002530061007943561,2,100,84,adam,0.7588995572215331
dataset_name,RF,LCB,11,56.62210988998413,0.4095568441697144,0.40920514121426543,0.012857024820550721,sigmoid,0.6446438739119653,0.03103311606446461,2,100,94,adam,0.7568957862033864
dataset_name,RF,LCB,12,24.026519775390625,0.4120095499922285,0.41592255722128213,0.026202081650202675,selu,0.4807929486783931,0.00959931560503783,1,100,53,adam,0.7561335525960492
dataset_name,RF,LCB,13,30.634276628494263,0.40815115485608927,0.4185299589499465,0.01777909303671919,softplus,0.4194886919840992,0.06271247888442273,3,750,63,adam,0.7572063817936225
dataset_name,RF,LCB,14,27.688302278518677,0.42009098910428816,0.40049750469670337,0.03167640284527099,selu,0.3979207729305147,0.0731557687796459,3,500,60,adam,0.7568444460339409
dataset_name,RF,LCB,15,33.17302846908569,0.4220713364325645,0.4198074539400896,0.013532958322073695,selu,0.21864691004094378,0.05530729974917334,3,500,64,adam,0.7574707221052437
dataset_name,RF,LCB,16,36.301453828811646,0.41358722769887624,0.4115764074248525,0.004875161975710478,selu,0.17697962896727046,0.0915743393117378,3,1000,71,adam,0.7565738606640544
dataset_name,RF,LCB,17,34.46207618713379,0.3924112822029136,0.3890944039420498,0.01946334757631191,softplus,0.16571100775900224,0.053511308215275985,3,750,67,adam,0.7578935705039127
dataset_name,RF,LCB,18,47.03056049346924,0.43995730946575473,0.43872482084233,0.04140879537862521,softplus,0.13988733439379653,0.0788501307162293,3,100,84,adam,0.7550583294051489
dataset_name,RF,LCB,19,46.809130907058716,0.4412256216227868,0.4471752602018983,0.017125870509696727,softplus,0.09423747931067931,0.09178993830371814,3,750,84,adam,0.7562474936046706
dataset_name,RF,LCB,20,51.553678035736084,0.4457452325751916,0.44850576060946734,0.016544175545051727,softplus,0.18030799204665593,0.08658596544557608,2,750,89,adam,0.7573854451256321
dataset_name,RF,LCB,21,54.285738706588745,0.3567954195990974,0.37992516890903844,0.04086671904718914,softplus,0.09780798127510165,0.08431095195509215,1,750,92,adam,0.7559998994431031
dataset_name,RF,LCB,22,49.051575899124146,0.3694621154918624,0.37028787938080154,0.04813936187125706,softplus,0.13490200785420678,0.08872306075478176,3,750,87,adam,0.7547830941370738
dataset_name,RF,LCB,23,53.75759220123291,0.4097485834044903,0.4080019370801457,0.013732146241209709,softplus,0.2722125703068634,0.09289162322005708,2,500,91,adam,0.7560302328078105
dataset_name,RF,LCB,24,53.23840570449829,0.41851016334228297,0.41930703926174995,0.021288731317023187,softplus,0.1936374344557168,0.05584511460350284,3,200,90,adam,0.7560322846813166
dataset_name,RF,LCB,25,26.357544660568237,0.39798040188539185,0.40517695299102297,0.02014338428875078,softplus,0.21411111413039327,0.09606341761741254,1,200,55,adam,0.7570503887447533
dataset_name,RF,LCB,26,51.167104721069336,0.4368499172591114,0.4320496913739425,0.0175946180062392,selu,0.17266957099006916,0.07554992043656057,2,750,87,adam,0.7560442117831543
dataset_name,RF,LCB,27,62.469820976257324,0.4016563886134287,0.40393157826563275,0.014004152079027303,selu,0.1729668456034926,0.08519720452348513,2,750,100,adam,0.7549783795116773
dataset_name,RF,LCB,28,46.90904903411865,0.42697748930261514,0.41553584842609176,0.02101025988640088,softplus,0.06520113362115033,0.07111142742234425,1,300,84,adam,0.7553322511288046
