input_index,reference,sentiment,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role,source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60
287,Hawthorne_Mossesfrom_2,0.9993,Hawthorne_Mossesfrom,Mosses from an old manse,"Hawthorne, Nathaniel",1846.0,,,,m,1804.0,American,,pb-manual,0.15,0.0,0.78,0.0,0.0,19.29,8.14,0.0,0.61,0.85,0.0,0.0,0.0,1.44,4.34,0.0,0.11,0.0,0.0,39.68,0.0,0.0,0.0,0.0,0.9,0.33,0.1,0.0,0.0,0.74,0.0,0.0,0.76,1.51,1.91,0.0,0.0,0.0,0.0,5.14,0.0,5.46,1.17,0.0,0.73,0.0,0.0,0.0,0.16,2.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0
288,Hawthorne_Mossesfrom_3,0.999,Hawthorne_Mossesfrom,Mosses from an old manse,"Hawthorne, Nathaniel",1846.0,,,,m,1804.0,American,,pb-manual,2.16,0.0,5.21,0.0,0.0,7.74,0.0,0.53,0.0,3.09,0.0,0.0,15.06,7.89,1.9,9.75,0.33,0.0,0.0,0.0,0.0,0.29,0.0,1.47,3.09,2.66,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,3.9,1.26,0.0,0.0,0.0,0.0,0.1,0.0,9.82,0.0,0.0,0.0,16.1,0.0,0.0,0.0,0.0,0.0,1.79
289,Hawthorne_Mossesfrom_4,0.9998,Hawthorne_Mossesfrom,Mosses from an old manse,"Hawthorne, Nathaniel",1846.0,,,,m,1804.0,American,,pb-manual,2.78,0.0,1.48,0.0,0.0,13.83,0.0,0.01,2.15,2.41,0.0,0.0,0.0,8.26,9.08,2.5,0.0,0.0,0.0,8.93,2.76,0.0,0.0,0.0,0.0,0.82,0.0,20.16,1.74,2.22,0.0,1.86,0.0,0.0,0.0,0.0,1.27,0.0,0.0,6.35,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,3.97,1.51,0.0,1.49,0.0,0.0
290,Hawthorne_Mossesfrom_5,0.9981,Hawthorne_Mossesfrom,Mosses from an old manse,"Hawthorne, Nathaniel",1846.0,,,,m,1804.0,American,,pb-manual,44.93,0.01,0.01,0.01,0.01,1.92,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.46,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.63,9.49,0.01,0.01,9.39,0.01,0.01,0.01,0.01,0.01,11.69,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.2,0.01,0.01,0.01,0.01,11.2,0.01,2.84,0.01,0.01,0.01,0.01
291,Hawthorne_Sightsfrom_1,0.9885,Hawthorne_Sightsfrom,Sights from a Steeple (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,0.0,0.0,17.61,0.0,0.0,10.95,0.0,0.0,0.0,0.0,0.0,0.0,9.51,8.85,7.11,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,1.85,0.0,0.0,0.0,0.0,0.0,4.26,0.0,8.12,0.0,0.0,5.95,0.0,1.89,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.08,0.0,1.37,0.0,12.2,0.0,0.0,0.0,0.0
292,Hawthorne_Sightsfrom_2,-0.0772,Hawthorne_Sightsfrom,Sights from a Steeple (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,93.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,5.23,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
293,Hawthorne_SnowFlakes_1,0.6557,Hawthorne_SnowFlakes,Snow Flakes (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,2.52,0.0,12.48,0.0,0.0,8.66,0.07,1.32,0.0,1.12,0.0,0.0,2.51,22.18,0.0,0.0,5.61,0.0,0.0,2.81,0.5,0.06,0.0,0.01,0.0,2.06,0.0,9.35,0.0,1.54,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.02,0.0,0.54,0.0,6.97,0.0,0.0,2.26,0.0,0.0,0.0,0.01,3.91,0.0,0.0,10.62,0.0,1.58,0.0,0.0,0.0,0.0
294,Hawthorne_SundayatHo_1,0.9995,Hawthorne_SundayatHo,Sunday at Home (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,2.99,0.0,10.21,0.0,0.0,3.68,0.0,0.0,0.0,0.0,5.57,1.53,4.87,0.0,1.53,7.51,2.14,0.0,0.0,0.0,0.0,6.47,0.0,0.0,0.0,1.14,0.0,0.0,2.03,0.0,0.0,0.0,1.38,0.0,1.89,0.0,0.0,0.0,0.0,2.12,0.0,0.0,3.75,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,8.04,0.0,0.66,3.86,5.38,2.6,9.73,0.0,7.56,0.8
295,Hawthorne_SundayatHo_2,0.8481,Hawthorne_SundayatHo,Sunday at Home (From 'Twice Told Tales'),"Hawthorne, Nathaniel",1837.0,,,,m,1804.0,American,,pb-manual,0.03,0.03,0.03,0.03,0.03,98.16,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
296,Hawthorne_Tanglewood_1,0.9998,Hawthorne_Tanglewood,Tanglewood Tales,"Hawthorne, Nathaniel",1853.0,,,,m,1804.0,American,,pb-manual,0.0,1.82,0.0,0.0,0.0,14.74,0.0,0.17,0.0,0.0,1.36,2.03,14.61,0.0,0.0,0.0,0.0,0.0,0.0,1.19,1.97,0.0,0.0,0.0,14.24,0.0,2.38,0.0,2.54,9.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.29,0.0,2.41,0.0,3.68,0.0,0.0,0.0,0.0,0.0,0.0,16.02,0.0,5.6,0.0,1.35,0.0,1.43,0.0,0.0,0.0,0.0
