input_index,reference,sentiment,text_key,title,author,date,period,mode,genre,gender,birthdate,nationality,role,source,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25,Topic 26,Topic 27,Topic 28,Topic 29,Topic 30,Topic 31,Topic 32,Topic 33,Topic 34,Topic 35,Topic 36,Topic 37,Topic 38,Topic 39,Topic 40,Topic 41,Topic 42,Topic 43,Topic 44,Topic 45,Topic 46,Topic 47,Topic 48,Topic 49,Topic 50,Topic 51,Topic 52,Topic 53,Topic 54,Topic 55,Topic 56,Topic 57,Topic 58,Topic 59,Topic 60
394,LeFanu_UncleSilas_4,-0.8571,LeFanu_UncleSilas,Uncle Silas: A Tale of Bartram-Haugh,"Le Fanu, Sheridan",1864.0,Victorian,Novel,Gothic,m,1814.0,Irish,Peripheral,colors,0.0,0.0,1.58,0.0,0.0,2.21,18.02,0.0,10.43,1.31,0.0,11.73,0.0,0.0,0.0,0.0,1.07,0.0,0.0,0.0,0.0,0.0,0.0,1.03,11.72,0.0,0.0,0.0,0.0,0.0,13.41,0.0,12.98,0.0,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,LeFanu_UncleSilas_5,-0.9793,LeFanu_UncleSilas,Uncle Silas: A Tale of Bartram-Haugh,"Le Fanu, Sheridan",1864.0,Victorian,Novel,Gothic,m,1814.0,Irish,Peripheral,colors,0.02,0.02,0.02,0.02,0.02,0.02,55.44,0.02,0.02,0.02,0.02,0.02,43.47,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
396,Lee_TheRecessO_1,0.9925,Lee_TheRecessO,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,f,1750.0,English,Central,colors,0.0,0.0,3.71,0.0,0.0,10.68,0.0,0.0,0.0,0.0,0.0,7.49,0.0,0.0,17.43,0.0,0.0,13.94,0.0,0.0,4.58,0.65,0.0,3.13,0.0,0.0,0.0,0.0,4.3,1.94,0.94,0.0,0.0,0.0,15.41,0.0,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.18,0.0,0.0,0.0,0.0,1.8,0.0,0.0,1.82,0.0,0.0,0.0,0.0,0.0,2.98
397,Lee_TheRecessO_2,0.9971,Lee_TheRecessO,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,f,1750.0,English,Central,colors,0.0,0.0,8.66,0.0,0.0,11.36,0.0,0.0,0.91,0.0,0.0,0.0,0.0,2.23,12.24,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.52,0.0,1.91,0.0,0.0,0.0,15.88,0.73,0.0,0.0,0.0,13.05,0.0,0.0,0.0,0.0,8.16,0.0,0.0,0.0,0.0,0.0,1.47,0.0,0.0,0.0,0.0,3.7,3.06,0.0,0.0,0.0,5.88
398,Lee_TheRecessO_3,0.9996,Lee_TheRecessO,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,f,1750.0,English,Central,colors,0.0,0.0,14.19,0.0,0.0,0.0,0.0,3.82,1.62,0.0,0.0,1.4,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,12.23,20.35,16.04,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,17.5,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.17,0.0
399,Lee_TheRecessO_4,0.9994,Lee_TheRecessO,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,f,1750.0,English,Central,colors,4.55,0.0,3.41,0.0,0.0,19.06,0.0,27.98,0.0,0.11,0.0,8.87,1.42,0.0,3.43,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.07,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,3.31,0.0,0.0,1.33,0.09,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,3.64,0.0,0.0,0.0,0.0
400,Lee_TheRecessO_5,0.9977,Lee_TheRecessO,"The Recess, Or A Tale Of Other Times","Lee, Sophia",1785.0,Romantic,Novel,Historical Romance,f,1750.0,English,Central,colors,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16.94,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44.67,0.01,0.01,0.01,37.74,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
401,Leland_LongswordE_1,0.9998,Leland_LongswordE,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,m,1722.0,Irish,Influence,colors,0.0,0.0,19.02,0.0,0.0,6.95,0.38,2.24,2.49,0.0,0.0,10.58,12.54,9.99,0.0,0.0,6.49,0.0,0.0,0.0,2.23,0.0,0.0,4.34,0.0,0.0,0.0,2.2,15.76,2.61,0.0,0.0,0.0,0.0,1.39,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
402,Leland_LongswordE_2,-0.9912,Leland_LongswordE,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,m,1722.0,Irish,Influence,colors,0.0,0.0,2.62,0.25,0.0,22.97,0.0,3.5,0.0,0.0,0.0,6.72,0.0,0.0,0.0,1.3,4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,6.34,0.0,0.0,0.0,3.32,2.72,4.68,0.0,6.31,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0
403,Leland_LongswordE_3,-0.8995,Leland_LongswordE,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,m,1722.0,Irish,Influence,colors,3.46,0.0,6.04,4.16,0.0,7.54,0.0,0.0,11.78,3.72,0.25,9.84,0.0,9.41,7.84,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.98,7.29,0.0,1.1,0.73,0.0,5.08,0.0,2.84,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,2.34,0.15,1.95,5.77,0.0,0.0,0.0,0.0
404,Leland_LongswordE_4,-0.9996,Leland_LongswordE,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,m,1722.0,Irish,Influence,colors,0.0,0.0,0.0,0.0,2.15,8.3,0.0,0.0,7.32,0.0,0.0,16.77,0.0,14.95,6.48,0.0,2.89,0.0,0.39,0.0,0.0,0.63,0.0,2.24,0.34,0.0,0.0,0.0,3.76,5.29,0.0,0.0,0.0,1.34,22.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0
405,Leland_LongswordE_5,-0.9934,Leland_LongswordE,"Longsword, Earl Of Salisbury. An Historical Romance","Leland, Thomas",1762.0,Pre-Romantic,Novel,Historical Romance,m,1722.0,Irish,Influence,colors,6.21,0.0,0.0,0.0,0.0,0.0,0.0,13.04,12.66,0.0,0.0,18.46,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,1.32,4.22,0.0,0.0,3.06,0.0,0.0,0.0,3.07,0.0,0.0,0.0,0.0,0.0,14.59,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,0.0,0.0,2.26,0.0,11.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.15,0.0,0.0,0.22
406,Lewis_AlonzoTheB_1,-0.9042,Lewis_AlonzoTheB,Alonzo The Brave And Fair Imogine,"Lewis, Matthew",1796.0,Romantic,Poetry,Gothic,m,1796.0,English,Central,colors,0.01,0.01,0.01,0.01,9.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.98,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,76.71,0.01,0.01,0.01,0.01,0.01,0.01,8.56,0.01,0.01,0.01,0.01,0.01,0.01
407,Lewis_TheCastleS_1,0.9979,Lewis_TheCastleS,The Castle Spectre,"Lewis, Matthew",1797.0,Romantic,Drama,Gothic,m,1796.0,English,Central,colors,4.97,0.0,17.15,0.0,0.0,11.78,0.0,0.72,0.0,0.0,0.0,0.0,0.0,15.06,0.0,0.0,7.38,2.11,0.0,0.54,0.0,1.46,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,1.43,0.0,15.69,0.0,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,5.91,0.0,1.39,0.0,0.0,0.0,0.0
408,Lewis_TheCastleS_2,0.9994,Lewis_TheCastleS,The Castle Spectre,"Lewis, Matthew",1797.0,Romantic,Drama,Gothic,m,1796.0,English,Central,colors,0.0,0.0,0.0,0.0,0.0,14.08,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.58,19.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.03,0.0,0.0,0.65,0.0,4.34,0.0,0.0,11.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99,6.22,6.21,0.0,0.0,0.0,6.51
409,Lewis_TheCastleS_3,0.9991,Lewis_TheCastleS,The Castle Spectre,"Lewis, Matthew",1797.0,Romantic,Drama,Gothic,m,1796.0,English,Central,colors,0.0,0.0,2.08,0.0,0.0,29.69,0.0,0.0,5.97,0.0,0.0,0.0,0.0,0.0,46.04,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,0.0,0.0,5.88,0.0,4.63,0.0,0.0,0.0,0.0
410,Lewis_TheCastleS_4,0.999,Lewis_TheCastleS,The Castle Spectre,"Lewis, Matthew",1797.0,Romantic,Drama,Gothic,m,1796.0,English,Central,colors,0.0,0.0,87.47,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
411,Lewis_TheCastleS_5,0.6808,Lewis_TheCastleS,The Castle Spectre,"Lewis, Matthew",1797.0,Romantic,Drama,Gothic,m,1796.0,English,Central,colors,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,91.37,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,7.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
412,Lewis_TheMonkARo_1,0.9988,Lewis_TheMonkARo,The Monk. A Romance,"Lewis, Matthew",1796.0,Romantic,Novel,Gothic,m,1796.0,English,Central,colors,3.8,0.0,0.0,0.56,0.0,0.0,0.0,1.89,0.0,0.0,0.0,9.11,6.79,0.0,28.45,0.0,0.0,6.72,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76,0.0,0.0,0.0,13.61,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,0.0,4.87,0.0,5.71,0.0,0.0,0.0,0.0,0.0,0.0,3.06,9.7,0.0,0.0,0.0,0.0,0.0,0.0
413,Lewis_TheMonkARo_2,0.9998,Lewis_TheMonkARo,The Monk. A Romance,"Lewis, Matthew",1796.0,Romantic,Novel,Gothic,m,1796.0,English,Central,colors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.41,0.0,7.51,0.0,8.6,0.0,6.68,4.62,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,1.93,0.0,0.0,0.0,0.0,0.0,9.47,0.0,0.0,0.0,0.0,11.53,0.96,3.95,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.29,0.0,0.0,7.5,0.0,0.0,0.76,0.0,13.41,0.0,0.0,0.0,0.0,0.01,0.0
414,Lewis_TheMonkARo_3,0.9994,Lewis_TheMonkARo,The Monk. A Romance,"Lewis, Matthew",1796.0,Romantic,Novel,Gothic,m,1796.0,English,Central,colors,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.77,0.0,0.0,0.0,0.93,11.59,6.73,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27,0.0,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.18,0.0,0.0,0.0,0.0,0.0,19.59,0.0,0.52,0.0,0.0,0.0,0.0
415,Lewis_TheMonkARo_4,0.9994,Lewis_TheMonkARo,The Monk. A Romance,"Lewis, Matthew",1796.0,Romantic,Novel,Gothic,m,1796.0,English,Central,colors,3.17,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,9.38,0.0,0.0,34.11,7.75,5.73,0.0,5.45,0.0,0.0,0.0,0.86,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.42,0.0,0.0,0.0,0.0,5.76,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,MacDonald_AttheBacko_1,0.999,MacDonald_AttheBacko,At the Back of the North Wind,"MacDonald, George",1871.0,,,,m,1824.0,Scottish,,pb-manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,MacDonald_AttheBacko_2,0.9953,MacDonald_AttheBacko,At the Back of the North Wind,"MacDonald, George",1871.0,,,,m,1824.0,Scottish,,pb-manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.72,0.0,0.0,0.0,0.0,0.0,0.0
418,MacDonald_AttheBacko_3,0.999,MacDonald_AttheBacko,At the Back of the North Wind,"MacDonald, George",1871.0,,,,m,1824.0,Scottish,,pb-manual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,MacDonald_AttheBacko_4,0.9996,MacDonald_AttheBacko,At the Back of the North Wind,"MacDonald, George",1871.0,,,,m,1824.0,Scottish,,pb-manual,0.0,0.0,26.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,5.74,0.0,0.0,0.0,0.0,0.0,0.0
420,MacDonald_AttheBacko_5,0.9617,MacDonald_AttheBacko,At the Back of the North Wind,"MacDonald, George",1871.0,,,,m,1824.0,Scottish,,pb-manual,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,30.12,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,68.13,0.03,0.03,0.03,0.03,0.03,0.03
421,MacDonald_StGeorgean_1,0.9973,MacDonald_StGeorgean,"St. George and St. Michael, Volume 1","MacDonald, George",1876.0,,,,m,1824.0,Scottish,,pb-manual,8.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,12.95,4.18,14.65,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.23,2.12,0.0,0.0,0.0,0.0,0.0,0.0,0.58,2.62,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,5.72,23.97,0.0,0.0,0.0,4.43
