"input_index","reference","sentiment","text_key","title","author","date","period","mode","genre","gender","birthdate","nationality","role","source","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73"
185,"Lee_Hauntings_4","0.9999","Lee_Hauntings","Hauntings","Lee, Vernon",1890,,,,"f",1856,"English",,"pb-under","0.6","0.0","3.4","1.8","2.9","1.06","3.22","2.3","3.54","3.07","0.11","4.04","1.19","0.29","0.71","0.13","1.18","0.86","1.62","0.08","0.66","1.01","0.38","0.16","1.87","0.0","0.04","0.7","4.42","0.86","2.11","0.48","0.51","2.13","2.91","1.12","1.9","1.58","1.45","0.51","0.0","2.05","4.82","0.0","2.75","1.87","1.65","0.96","0.82","0.0","2.75","0.97","1.7","1.54","0.79","0.97","0.3","0.49","0.39","2.2","2.04","0.95","1.65","0.08","1.31","0.86","0.0","0.37","2.25","4.37","0.42","0.65","1.1"
186,"Lee_Hauntings_5","0.9935","Lee_Hauntings","Hauntings","Lee, Vernon",1890,,,,"f",1856,"English",,"pb-under","0.01","0.01","0.01","0.01","1.47","0.01","2.19","0.68","0.01","0.01","0.01","0.02","0.01","1.99","0.79","0.01","0.01","0.01","0.01","0.01","0.01","46.06","0.01","0.07","6.21","0.01","0.01","0.01","0.73","0.01","2.26","0.15","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.68","4.16","0.01","1.6","2.12","6.98","0.01","0.01","0.01","2.38","5.79","0.01","0.01","10.1","0.01","0.01","0.01","0.4","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","1.55","0.01","0.01","0.01"
187,"Corelli_TheSorrows_1","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.16","0.34","2.19","0.98","3.26","0.85","1.6","2.75","3.43","2.57","0.49","3.04","1.08","0.07","0.66","0.0","0.86","1.88","2.57","0.27","0.98","0.0","0.52","0.23","1.27","0.0","0.2","1.3","2.03","0.51","3.9","0.35","0.46","5.9","1.37","0.02","2.15","2.34","0.98","0.26","0.09","2.2","1.07","0.43","0.9","1.83","0.72","0.59","1.9","0.08","7.88","1.23","0.39","0.12","0.66","0.9","0.22","0.06","0.09","4.63","1.32","0.38","1.23","2.68","3.06","2.34","0.42","0.11","1.73","4.14","1.04","0.43","1.28"
188,"Corelli_TheSorrows_2","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.74","1.1","0.67","2.23","1.83","0.62","4.67","3.29","3.56","1.86","0.72","2.93","0.3","0.31","0.16","0.0","0.29","1.45","1.15","0.14","0.22","0.0","0.7","0.08","0.64","0.0","0.22","1.09","3.0","1.05","2.0","0.47","0.83","3.04","1.14","0.26","1.26","2.29","1.0","0.0","0.46","6.21","0.81","0.0","2.14","0.74","0.16","3.72","0.97","0.0","9.78","2.25","1.52","0.0","0.43","1.67","0.0","0.31","0.33","4.43","1.03","0.06","1.34","0.21","1.62","1.85","0.0","0.27","0.52","5.33","0.34","1.06","3.1"
189,"Corelli_TheSorrows_3","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.44","0.27","2.05","1.09","0.96","1.53","0.77","2.63","2.28","1.33","1.96","1.17","0.34","0.35","1.36","0.0","0.17","1.79","3.08","0.07","0.33","0.19","0.46","0.0","1.2","0.0","0.16","1.36","2.82","0.98","3.51","0.61","1.33","5.05","2.09","0.32","1.32","3.71","1.33","0.25","0.64","4.46","0.71","0.19","2.02","0.98","0.33","4.08","1.97","0.06","5.43","0.77","0.5","0.11","1.01","1.52","0.0","0.08","0.16","3.56","1.05","0.0","1.5","1.65","4.42","1.48","0.0","0.07","0.72","2.62","1.4","0.98","4.87"
190,"Corelli_TheSorrows_4","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.0","0.7","1.53","1.32","3.34","0.78","2.68","1.82","1.99","4.67","0.15","3.65","0.75","0.73","1.2","0.0","0.16","1.51","2.68","0.0","0.87","0.02","0.43","0.0","0.11","0.0","0.0","0.54","5.32","1.36","4.05","0.92","0.45","2.48","0.77","0.37","0.87","1.15","0.79","0.22","0.0","5.15","0.09","0.0","4.18","1.09","0.73","0.86","1.82","0.16","5.0","1.92","0.31","0.15","0.5","1.68","0.0","0.0","0.44","6.03","1.86","0.68","3.06","0.77","0.77","2.6","0.11","0.0","0.93","4.5","1.65","1.6","0.92"
191,"Corelli_TheSorrows_5","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.39","0.09","1.37","0.9","4.2","1.67","3.09","1.53","1.85","2.37","0.52","2.31","0.78","1.46","1.04","0.44","0.89","1.58","1.95","0.14","1.52","0.16","0.2","0.2","0.12","0.0","0.12","2.04","7.67","0.73","4.56","0.5","0.87","2.25","1.83","0.73","1.01","3.11","0.31","0.32","0.0","3.46","0.34","0.31","1.61","1.83","0.13","3.37","0.38","0.05","3.84","2.37","0.44","0.11","0.53","1.68","0.0","0.0","0.53","2.95","2.21","0.39","1.4","1.0","2.39","0.3","0.32","0.43","2.64","3.76","2.19","0.44","1.78"
192,"Corelli_TheSorrows_6","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.57","1.14","0.67","0.08","2.21","1.74","3.4","0.65","4.0","1.97","0.27","3.07","1.04","1.2","3.47","0.0","0.43","1.14","2.4","0.4","0.68","0.0","0.47","0.11","0.12","0.0","0.14","1.25","7.03","0.96","7.01","0.61","0.29","3.63","1.65","0.07","0.97","1.75","0.44","0.0","0.0","2.77","0.8","0.31","0.96","1.06","0.06","2.59","0.89","0.21","6.61","1.43","0.91","0.66","1.06","1.38","0.17","0.0","0.0","4.95","0.65","0.75","0.7","0.96","1.63","1.19","0.61","0.15","1.0","2.92","2.13","0.83","2.61"
193,"Corelli_TheSorrows_7","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.43","0.27","0.82","1.79","3.97","1.07","2.83","2.35","2.2","1.7","1.24","2.44","0.88","0.36","2.04","0.12","0.12","2.17","1.82","0.04","1.4","0.03","0.2","0.0","0.63","0.02","0.13","0.76","4.89","0.81","4.54","0.7","0.0","2.21","1.35","1.1","1.19","4.49","1.22","0.2","0.0","1.56","0.52","0.02","2.53","2.28","0.62","0.87","1.47","0.7","6.71","1.2","1.9","0.18","0.93","0.87","0.06","0.02","0.49","2.35","0.39","0.1","1.02","0.44","2.58","1.58","0.53","0.71","2.66","8.01","0.46","0.48","1.22"
194,"Corelli_TheSorrows_8","1.0","Corelli_TheSorrows","The Sorrows of Satan","Corelli, Marie",1895,,,,"f",1855,"English",,"pb-under","0.83","0.07","3.48","1.3","1.74","1.85","1.58","2.97","1.27","0.57","0.54","2.12","1.34","1.16","2.91","0.26","0.4","1.05","1.89","0.35","0.38","0.0","0.54","0.17","0.36","0.0","0.44","1.19","3.11","1.88","2.6","1.72","0.57","3.06","2.63","1.19","0.49","3.05","1.29","0.0","0.07","4.73","0.92","0.26","2.34","0.88","1.02","1.56","1.11","0.13","3.63","3.49","0.72","0.59","1.08","1.76","0.39","0.0","0.42","3.61","0.47","0.34","0.62","0.99","1.14","0.0","0.43","1.0","2.7","8.52","1.07","0.68","0.94"
