"input_index","reference","sentiment","text_key","title","author","date","period","mode","genre","gender","birthdate","nationality","role","source","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12","Topic 13","Topic 14","Topic 15","Topic 16","Topic 17","Topic 18","Topic 19","Topic 20","Topic 21","Topic 22","Topic 23","Topic 24","Topic 25","Topic 26","Topic 27","Topic 28","Topic 29","Topic 30","Topic 31","Topic 32","Topic 33","Topic 34","Topic 35","Topic 36","Topic 37","Topic 38","Topic 39","Topic 40","Topic 41","Topic 42","Topic 43","Topic 44","Topic 45","Topic 46","Topic 47","Topic 48","Topic 49","Topic 50","Topic 51","Topic 52","Topic 53","Topic 54","Topic 55","Topic 56","Topic 57","Topic 58","Topic 59","Topic 60","Topic 61","Topic 62","Topic 63","Topic 64","Topic 65","Topic 66","Topic 67","Topic 68","Topic 69","Topic 70","Topic 71","Topic 72","Topic 73"
205,"Blackwood_TheEmptyHo_6","-0.2551","Blackwood_TheEmptyHo","The Empty House and Other Ghost Stories","Blackwood, Algernon",1906,,,,"m",1869,"English",,"pb-under","0.03","0.03","0.03","0.03","32.45","0.03","0.03","0.03","46.03","0.03","0.48","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.5","0.03","3.57","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.72","0.03","0.03","0.03","0.03","14.34","0.03","0.03","0.03"
206,"Wharton_TalesofMen_1","0.9874","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.0","0.05","0.73","1.09","4.1","2.75","1.35","1.14","13.93","0.99","0.53","2.26","1.09","0.1","1.25","0.25","0.99","1.18","0.5","0.28","0.11","0.04","0.53","0.01","2.1","0.01","0.32","0.14","2.51","0.33","1.64","0.0","0.36","6.58","0.68","0.29","1.04","1.78","2.09","0.47","0.39","1.29","0.59","0.0","3.43","2.19","0.95","1.78","0.65","0.07","5.98","1.15","0.62","0.46","0.26","1.2","0.0","0.54","1.08","0.47","1.76","0.18","0.56","0.26","7.83","0.79","0.16","0.0","3.16","3.78","0.56","1.27","0.99"
207,"Wharton_TalesofMen_2","1.0","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.0","0.19","0.83","2.21","2.7","1.96","3.01","2.59","9.14","2.69","1.89","2.49","0.01","0.03","0.8","0.85","0.52","0.97","1.0","0.28","0.55","0.0","0.38","0.17","1.34","0.0","0.05","1.24","1.08","0.95","1.58","0.46","0.83","6.31","0.44","1.26","1.25","0.77","0.52","0.0","0.09","3.27","0.08","0.39","1.87","1.01","2.52","3.89","0.91","0.44","3.1","0.98","0.58","0.01","0.69","0.92","0.09","0.47","2.8","3.15","0.98","0.74","1.41","0.9","4.75","2.72","0.07","0.13","0.87","3.73","0.86","0.87","1.37"
208,"Wharton_TalesofMen_3","0.9999","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.72","0.53","1.2","3.11","2.29","1.69","1.36","2.02","13.21","2.65","1.21","0.87","0.1","0.29","1.67","0.0","0.87","1.41","2.27","0.65","0.02","0.0","0.0","0.08","0.23","0.01","0.8","0.0","1.1","0.41","1.77","0.57","0.57","3.45","0.68","0.37","0.63","1.37","1.79","0.0","0.16","1.7","0.21","0.0","1.39","2.44","0.96","2.49","2.08","0.26","3.62","2.34","1.33","0.82","0.41","1.38","0.28","1.49","0.49","1.13","1.44","0.6","1.13","0.0","8.81","0.9","0.76","1.01","1.18","2.24","2.35","1.03","1.59"
209,"Wharton_TalesofMen_4","0.9998","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.06","0.02","1.19","2.79","5.01","1.03","1.94","2.23","3.03","2.28","1.45","3.01","0.26","0.07","0.57","0.0","0.14","0.0","2.05","0.0","0.67","0.0","1.84","0.1","0.81","0.98","0.28","0.02","1.34","1.22","1.18","0.86","0.16","3.05","0.85","0.2","0.17","2.16","2.98","0.52","0.0","1.31","0.22","0.0","1.71","1.21","0.45","3.32","1.91","0.0","3.57","1.98","1.75","1.2","1.02","1.4","0.73","0.55","0.0","2.07","2.7","0.8","2.86","0.29","7.15","1.49","1.24","0.17","5.13","4.1","0.26","0.55","2.34"
210,"Wharton_TalesofMen_5","0.9999","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.18","0.78","0.77","1.52","3.59","1.37","1.07","3.24","1.83","2.52","2.15","4.23","0.64","0.0","1.07","0.09","0.64","1.58","1.73","0.0","0.5","0.18","0.46","0.25","0.09","0.0","0.0","0.87","3.15","0.49","1.5","0.8","0.29","2.56","3.0","0.6","1.28","3.64","1.89","0.5","0.12","1.8","0.52","0.0","2.24","2.73","1.26","2.7","1.73","0.69","4.83","0.98","1.36","1.3","1.14","1.16","0.59","0.97","0.38","3.57","2.6","0.01","0.75","0.87","1.6","1.54","0.35","0.74","2.91","5.11","0.88","0.0","1.49"
211,"Wharton_TalesofMen_6","0.5918","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.22","0.07","1.02","5.56","7.91","0.84","2.68","2.93","0.95","1.34","1.29","2.19","2.21","0.38","1.29","0.69","0.86","1.22","1.74","0.31","0.29","0.38","0.25","0.02","1.53","0.11","0.15","0.0","3.61","0.6","0.91","1.03","0.46","3.67","1.43","0.22","0.49","3.12","3.15","0.08","0.0","2.28","0.57","0.0","0.18","0.29","1.72","1.25","4.05","0.97","2.31","1.19","2.4","0.05","0.84","1.07","0.27","0.23","0.03","1.61","2.68","0.38","0.26","0.33","5.13","1.38","0.73","0.27","1.19","3.48","1.27","2.4","1.97"
212,"Wharton_TalesofMen_7","0.9996","Wharton_TalesofMen","Tales of Men and Ghosts","Wharton, Edith",1910,,,,"f",1862,"American",,"pb-under","0.23","0.69","2.47","2.49","4.64","0.76","0.82","3.38","3.6","3.85","0.21","2.79","0.33","0.09","0.38","0.88","0.13","1.37","0.68","0.0","0.89","0.0","0.92","0.13","1.09","0.02","0.41","0.0","4.42","1.16","0.93","1.07","0.15","1.52","1.2","0.43","4.81","1.92","0.47","0.0","0.0","1.22","0.0","0.0","4.7","3.13","3.27","1.24","1.11","0.42","8.11","0.49","0.74","0.01","0.25","2.89","0.29","0.77","0.47","2.15","1.77","0.35","0.7","0.0","3.72","1.8","1.28","0.75","0.37","2.35","2.14","0.73","1.41"
213,"LeFanu_InaGlassDa_1","0.9999","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.0","0.49","1.54","1.42","6.96","2.6","0.82","1.34","1.23","1.14","0.33","5.51","1.25","0.47","1.19","0.0","0.09","0.62","1.32","0.28","2.88","0.0","0.27","0.0","0.58","0.0","0.65","0.0","2.73","1.18","0.96","0.0","0.11","0.9","1.44","0.21","1.94","4.05","2.81","0.0","0.05","1.36","1.74","0.0","1.63","5.72","2.45","2.51","2.43","0.04","8.39","0.0","2.23","0.0","0.73","0.67","0.0","0.11","0.0","1.77","1.39","0.81","0.25","0.0","3.18","0.55","0.0","0.8","1.45","6.82","0.05","0.18","3.31"
214,"LeFanu_InaGlassDa_2","-0.9999","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.85","0.0","1.71","2.19","9.59","1.36","0.49","2.23","3.07","2.91","0.6","1.99","0.67","0.26","1.05","0.04","0.57","1.08","5.37","0.06","0.19","0.0","1.42","0.22","2.54","0.0","0.59","0.01","2.19","1.04","1.35","1.32","0.08","1.05","1.87","0.35","1.48","2.62","3.58","0.22","0.0","1.32","0.06","0.0","2.78","2.36","1.06","1.48","0.59","0.0","7.16","2.0","1.74","0.03","0.81","0.34","0.04","0.03","0.1","3.28","0.57","0.27","0.75","0.82","2.26","1.54","0.05","1.13","1.79","5.59","0.37","0.07","1.36"
215,"LeFanu_InaGlassDa_3","-0.9997","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.0","0.13","4.76","1.89","5.56","0.66","0.77","1.01","2.36","1.35","1.3","8.13","0.22","1.31","3.22","0.0","0.08","2.54","0.97","0.0","1.05","0.0","1.23","0.19","2.49","0.01","0.35","0.02","1.41","1.58","2.36","0.22","0.0","3.21","2.81","0.28","0.74","2.06","4.8","0.0","0.0","1.05","0.84","0.09","0.54","1.31","0.93","0.5","0.82","0.84","6.33","2.53","0.03","0.34","0.33","5.41","0.0","1.76","0.0","1.8","0.13","0.05","0.03","0.0","3.27","0.49","0.01","0.16","2.41","5.12","0.06","0.54","1.18"
216,"LeFanu_InaGlassDa_4","1.0","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.0","0.1","1.95","1.82","5.47","0.02","0.25","0.57","4.14","3.1","0.98","4.5","0.78","0.12","0.08","0.0","0.0","1.41","2.96","0.05","1.09","0.0","0.06","0.17","0.09","0.0","0.0","0.4","1.24","2.07","2.83","0.73","0.15","4.52","1.93","0.51","1.88","2.47","3.66","0.01","0.0","0.87","0.0","0.21","4.87","3.08","1.53","1.58","1.1","0.15","6.43","1.49","1.47","0.0","0.68","0.27","0.0","0.63","0.12","5.71","0.38","0.67","1.39","0.5","6.03","0.72","0.22","0.34","0.76","6.44","0.21","0.0","0.0"
217,"LeFanu_InaGlassDa_5","1.0","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.04","0.0","3.64","3.95","0.69","3.85","0.25","0.87","4.13","0.75","1.39","2.0","0.79","4.77","0.18","0.09","0.0","1.35","1.55","0.37","0.68","0.0","0.26","1.21","0.98","0.0","0.21","0.27","2.67","4.07","2.67","0.41","0.02","3.07","1.11","0.65","1.27","3.58","2.0","0.0","0.0","1.44","2.23","0.01","4.04","2.88","0.82","0.29","1.72","0.0","1.77","1.46","0.39","0.0","1.19","3.23","0.0","0.3","0.0","2.36","1.43","0.85","0.76","0.81","5.2","1.03","0.22","0.96","0.28","7.47","0.0","0.27","0.75"
218,"LeFanu_InaGlassDa_6","0.9998","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.1","0.12","2.78","2.83","3.37","3.48","0.9","0.31","2.28","1.51","0.59","4.3","1.45","0.0","1.69","0.49","0.03","2.12","2.13","0.0","0.0","0.0","0.71","0.0","3.5","0.0","0.35","0.54","1.3","2.31","0.28","0.19","0.0","3.33","1.84","0.4","0.31","1.19","3.93","0.1","0.0","1.71","1.24","0.01","2.04","3.88","2.83","1.75","3.25","0.24","6.75","0.57","0.95","0.17","0.45","2.65","0.13","0.0","0.0","1.46","0.0","2.65","0.85","0.11","2.88","0.78","0.19","0.0","3.47","5.8","0.18","0.03","2.14"
219,"LeFanu_InaGlassDa_7","0.9999","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.0","0.0","5.45","2.93","5.42","1.17","0.73","0.39","2.73","0.0","0.92","0.47","0.0","0.63","3.63","0.0","0.29","1.27","3.06","0.29","0.37","0.0","1.05","0.62","0.66","0.17","0.0","0.0","0.28","2.74","2.99","0.0","0.33","0.26","0.94","0.16","0.63","0.97","4.76","0.23","0.0","0.3","0.37","0.44","6.24","4.05","0.15","0.4","0.85","0.0","6.28","1.74","2.14","0.26","0.36","2.05","0.16","0.88","0.26","3.45","1.25","0.23","0.59","0.4","5.27","2.31","0.24","1.58","4.08","4.99","0.53","0.01","1.57"
220,"LeFanu_InaGlassDa_8","1.0","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.0","0.0","1.8","1.95","5.72","4.66","1.02","0.37","1.67","1.76","2.42","1.38","0.34","1.27","2.31","0.0","0.03","0.68","1.64","0.0","0.73","0.0","1.97","0.68","0.91","0.0","0.05","0.1","1.29","0.47","2.18","0.21","0.39","1.98","1.38","0.0","0.8","0.72","8.03","0.0","0.0","0.7","0.25","0.0","2.06","3.8","0.41","1.61","0.7","0.09","4.6","2.28","0.17","0.0","0.86","2.64","0.0","0.02","0.01","7.81","0.38","0.05","1.66","0.76","3.35","1.63","0.0","0.25","3.76","7.97","0.01","0.0","1.19"
221,"LeFanu_InaGlassDa_9","-0.9736","LeFanu_InaGlassDa","In a Glass Darkly","Le Fanu, Sheridan",1872,,,,"m",1814,"Irish",,"pb-under","0.01","0.01","1.39","11.3","8.73","9.85","0.01","0.01","0.01","0.01","0.01","0.5","0.01","0.03","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.15","0.01","0.01","0.01","0.01","0.01","16.87","0.37","0.01","0.01","17.42","0.33","0.01","0.01","0.01","0.08","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.5","7.71","0.01","3.58","0.55","3.89","0.01","0.01","2.08","0.01","0.01","0.01","8.31","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","5.66","0.01","0.01","0.01","0.01"
